City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,dakhla,23.6848,-15.958,20.29,92,0,6.21,EH,1691542938
84,puerto ayora,-0.7393,-90.3518,24.19,88,79,2.68,EC,1691542880
85,yaren,-0.5472,166.916,27.91,75,100,3.3,NR,1691543295
86,morehead city,34.7229,-76.726,29.43,76,0,3.6,US,1691543295
87,bethel,41.3712,-73.414,22.49,75,67,0.45,US,1691542882
88,vorgashor,67.5833,63.95,8.81,70,100,3.58,RU,1691542935
89,manado,1.487,124.8455,31.43,58,20,2.57,ID,1691543295
90,moab,38.5733,-109.5498,34.03,9,9,8.78,US,1691543295
91,vila franca do campo,37.7167,-25.4333,23.23,89,93,4.27,PT,1691542926
92,geraldton,-28.7667,114.6,14.23,88,100,5.66,AU,1691542907
93,arraial do cabo,-22.9661,-42.0278,20.84,86,100,8.61,BR,1691542723
94,ancud,-41.8697,-73.8203,10.08,98,100,5.77,CL,1691542959
95,iskateley,67.6803,53.1512,10.91,71,28,1.56,RU,1691542934
96,argo,37.6333,22.7333,26.55,66,57,2.3,GR,1691543296
97,punta arenas,-53.15,-70.9167,1.05,87,46,3.01,CL,1691542914
98,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,56,75,3.0,RU,1691542881
99,burutu,5.3509,5.5076,24.83,86,29,2.79,NG,1691543296
100,xinyuan,37.3,99.0,14.49,65,88,0.57,CN,1691542996
101,flin flon,54.7682,-101.865,13.72,66,97,3.55,CA,1691543297
102,praia da vitoria,38.7333,-27.0667,25.14,78,40,8.03,PT,1691542865
103,uturoa,-16.7333,-151.4333,25.46,82,100,5.64,PF,1691542940
104,flying fish cove,-10.4217,105.6791,24.82,83,75,7.2,CX,1691542914
105,armacao de buzios,-22.7469,-41.8817,22.03,93,100,2.01,BR,1691543042
106,keflavik,64.0049,-22.5624,11.24,93,0,4.63,IS,1691542981
107,lorengau,-2.0226,147.2712,27.91,80,50,7.85,PG,1691543297
108,isafjordur,66.0755,-23.124,10.03,62,13,1.67,IS,1691542875
109,new plymouth,-39.0667,174.0833,11.6,69,27,5.84,NZ,1691543298
110,mount gambier,-37.8333,140.7667,13.13,53,2,6.4,AU,1691542976
111,touros,-5.1989,-35.4608,24.51,82,100,4.98,BR,1691542917
112,walvis bay,-22.9575,14.5053,13.53,88,100,2.06,NA,1691542909
113,yeniseysk,58.4497,92.1703,16.04,89,14,0.31,RU,1691543298
114,enewetak,11.3474,162.3373,28.68,77,70,6.73,MH,1691542887
115,coquimbo,-29.9533,-71.3436,14.85,82,0,3.09,CL,1691542911
116,viedma,-40.8135,-62.9967,11.41,41,75,8.53,AR,1691542881
117,anadyr,64.75,177.4833,10.28,93,75,7.0,RU,1691542906
118,sorong,-0.8833,131.25,27.0,75,20,6.97,ID,1691543299
119,ikongo,-21.8833,47.4333,16.03,98,98,0.77,MG,1691543299
120,utrik,11.2278,169.8474,28.41,77,96,5.15,MH,1691542781
121,akko,32.9236,35.0728,26.66,64,19,1.6,IL,1691543299
122,aral,40.5156,81.2636,27.36,31,0,2.35,CN,1691542953
123,playas,-2.6333,-80.3833,23.17,83,100,4.8,EC,1691543159
124,new norfolk,-42.7826,147.0587,11.07,55,100,1.87,AU,1691542921
125,oriximina,-1.7656,-55.8661,28.24,57,59,1.09,BR,1691542975
126,sinabang,2.4803,96.3801,26.12,82,100,0.66,ID,1691542876
127,kingston,17.997,-76.7936,30.53,84,40,7.72,JM,1691542806
128,wanning,18.8003,110.3967,30.63,66,100,5.46,CN,1691543300
129,magadan,59.5667,150.8,17.52,53,48,1.79,RU,1691543268
130,turpan,42.9333,89.1667,32.35,30,0,2.07,CN,1691542998
131,port douglas,-16.4833,145.4667,22.92,69,27,7.42,AU,1691543301
132,naze,28.3667,129.4833,25.51,87,100,11.38,JP,1691542960
133,kone,-21.0595,164.8658,23.01,43,14,4.95,NC,1691542901
134,kodiak,57.79,-152.4072,13.63,90,100,2.55,US,1691542932
135,invercargill,-46.4,168.35,7.79,68,84,4.02,NZ,1691542902
136,panacan,9.2463,118.4082,28.74,73,72,1.47,PH,1691543301
137,saint-tropez,43.2693,6.6398,18.33,75,88,1.2,FR,1691543301
138,hamilton,39.1834,-84.5333,25.43,69,87,0.89,US,1691542791
139,namibe,-15.1961,12.1522,17.27,88,4,2.72,AO,1691543302
140,port blair,11.6667,92.75,28.02,83,40,5.14,IN,1691542901
141,haiku-pauwela,20.9219,-156.3051,30.28,56,20,11.32,US,1691542630
142,mulayjah,27.271,48.4242,34.02,15,0,3.1,SA,1691543302
143,lebu,-37.6167,-73.65,12.18,74,100,4.67,CL,1691542820
144,tazovsky,67.4667,78.7,7.22,95,100,7.1,RU,1691542811
145,xining,36.6167,101.7667,21.02,65,93,1.18,CN,1691543302
146,antsiranana,-12.2787,49.2917,21.42,83,4,5.14,MG,1691543302
147,east london,-33.0153,27.9116,16.52,82,100,2.48,ZA,1691542835
148,college,64.8569,-147.8028,18.66,87,100,0.0,US,1691542801
149,saint-philippe,-21.3585,55.7679,19.77,81,46,4.22,RE,1691542920
150,rio grande,-32.035,-52.0986,14.06,75,100,6.23,BR,1691542857
151,urangan,-25.3,152.9,20.19,56,6,6.7,AU,1691543303
152,lloydminster,53.2835,-110.0016,20.24,38,100,1.04,CA,1691543303
153,pitogo,13.7847,122.0881,29.75,73,10,5.17,PH,1691543303
154,littlefield,33.9173,-102.3249,31.78,29,100,4.45,US,1691543303
155,ntungamo,-0.8833,29.65,19.64,77,97,0.97,UG,1691543304
156,katsuura,35.1333,140.3,27.49,89,99,6.54,JP,1691542987
157,puerto baquerizo moreno,-0.9,-89.6,23.47,78,100,4.96,EC,1691542631
158,avarua,-21.2078,-159.775,24.03,64,40,5.14,CK,1691542857
159,whitehorse,60.7161,-135.0538,16.43,72,75,2.06,CA,1691542870
160,fredericton,45.9454,-66.6656,17.58,96,100,3.6,CA,1691543079
161,kiunga,-6.1219,141.2906,27.26,64,84,2.32,PG,1691543304
162,staranzano,45.8072,13.5033,18.75,85,100,2.06,IT,1691543304
163,jakar,27.5492,90.7525,16.55,98,100,0.21,BT,1691543304
164,chonchi,-42.6128,-73.8092,9.56,99,100,2.08,CL,1691542915
165,leninskoye,41.7589,69.3864,23.71,34,0,1.48,KZ,1691543305
166,udachny,66.4167,112.4,20.25,52,6,6.18,RU,1691542909
167,polyarnyy,69.1989,33.4478,15.49,80,0,4.8,RU,1691543305
168,lompoc,34.6391,-120.4579,22.66,80,100,3.13,US,1691542876
169,konakovo,56.7,36.7667,17.05,88,99,1.41,RU,1691543305
170,weno,7.4515,151.8468,27.28,83,100,6.01,FM,1691542679
171,ayr,55.4627,-4.6339,10.73,86,67,2.23,GB,1691543306
172,kendari,-3.945,122.4989,27.64,69,18,0.86,ID,1691543306
173,ta`u,-14.2336,-169.5144,27.46,69,100,3.9,AS,1691542847
174,merizo village,13.2658,144.6691,30.85,86,43,4.63,GU,1691543288
175,gulnar,36.3415,33.3992,19.43,61,0,0.23,TR,1691543306
