City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,margaret river,-33.95,115.0667,12.59,66,27,2.48,AU,1691575925
83,rincon,32.296,-81.2354,23.25,94,20,1.54,US,1691575657
84,dudinka,69.4058,86.1778,22.57,48,66,4.78,RU,1691575926
85,farasan,16.7022,42.1183,31.96,64,92,10.8,SA,1691575926
86,aasiaat,68.7098,-52.8699,4.38,76,100,1.61,GL,1691575926
87,margate,51.3813,1.3862,19.94,62,94,2.24,GB,1691575926
88,colonia,50.9333,6.95,20.59,65,20,1.54,DE,1691575806
89,alofi,-19.0595,-169.9187,25.24,85,14,2.89,NU,1691575926
90,puerto colombia,10.9878,-74.9547,27.05,88,67,4.05,CO,1691575927
91,vilhena,-12.7406,-60.1458,20.58,56,7,0.56,BR,1691575927
92,mangai,-4.05,19.5333,35.08,35,9,1.24,CD,1691575927
93,tavricheskoye,54.5851,73.6395,28.84,23,30,2.3,RU,1691575927
94,west island,-12.1568,96.8225,25.99,78,75,7.2,CC,1691575927
95,midland,31.9974,-102.0779,30.14,48,0,3.09,US,1691575842
96,jiagedaqi,50.4167,124.1167,17.37,93,100,2.31,CN,1691575928
97,port alfred,-33.5906,26.891,18.99,76,97,2.24,ZA,1691575928
98,constantia,44.1833,28.65,27.61,50,0,6.3,RO,1691575817
99,prado,-17.3411,-39.2208,20.58,91,46,1.67,BR,1691575928
100,leer,53.2316,7.461,21.08,62,9,6.27,DE,1691575928
101,katsuura,35.1333,140.3,26.95,91,83,6.3,JP,1691575760
102,klyuchi,52.2667,79.1667,29.27,28,21,2.68,RU,1691575929
103,labytnangi,66.6572,66.4183,16.57,56,88,1.59,RU,1691575929
104,skikda,36.8762,6.9092,28.22,44,0,3.7,DZ,1691575929
105,kievka,50.2619,71.5514,31.21,22,81,2.4,KZ,1691575929
106,rumoi,43.9344,141.6428,24.0,97,67,0.52,JP,1691575929
107,toliara,-23.35,43.6667,26.04,59,0,7.41,MG,1691575929
108,hawaiian paradise park,19.5933,-154.9731,24.73,88,75,2.57,US,1691575930
109,bredasdorp,-34.5322,20.0403,17.35,63,0,4.58,ZA,1691575930
110,jamestown,42.097,-79.2353,18.17,100,100,4.12,US,1691575834
111,tura,25.5198,90.2201,27.44,88,100,1.69,IN,1691575930
112,tobruk,32.0836,23.9764,28.48,62,0,7.1,LY,1691575931
113,santa elena de uairen,4.6167,-61.1333,19.02,93,100,1.31,VE,1691575931
114,avarua,-21.2078,-159.775,21.03,73,50,6.17,CK,1691575931
115,whitehorse,60.7161,-135.0538,11.01,69,80,3.58,CA,1691575735
116,punta arenas,-53.15,-70.9167,2.96,91,100,2.42,CL,1691575769
117,kone,-21.0595,164.8658,16.48,80,33,2.3,NC,1691575931
118,kodiak,57.79,-152.4072,11.73,100,100,0.0,US,1691575859
119,saint-joseph,-21.3667,55.6167,24.21,77,27,3.32,RE,1691575932
120,thompson,55.7435,-97.8558,9.09,81,75,3.09,CA,1691575932
121,primero de mayo,-32.2552,-58.4228,8.64,93,60,3.84,AR,1691575932
122,victorica,-36.2151,-65.4359,6.15,61,98,5.18,AR,1691575932
123,an nuhud,12.7,28.4333,25.58,68,99,6.53,SD,1691575932
124,bilibino,68.0546,166.4372,7.4,63,99,2.18,RU,1691575932
125,cabo san lucas,22.8909,-109.9124,29.73,78,11,3.58,MX,1691575703
126,verkhnevilyuysk,63.4453,120.3167,24.58,38,2,2.94,RU,1691575933
127,karratha,-20.7377,116.8463,23.76,48,0,4.98,AU,1691575933
128,choele choel,-39.2667,-65.6833,10.4,47,100,5.85,AR,1691575933
129,greymouth,-42.4667,171.2,6.6,84,90,1.76,NZ,1691575933
130,afaahiti,-17.75,-149.2833,21.93,75,94,7.24,PF,1691575933
131,nakamura,32.9833,132.9333,26.42,96,100,6.48,JP,1691575934
132,crucecita,-28.95,-58.9833,12.63,93,100,3.26,AR,1691575934
133,lakhipur,26.0299,90.3041,30.65,78,100,2.22,IN,1691575934
134,holualoa,19.6228,-155.9522,26.59,76,100,3.6,US,1691575934
135,nar'yan-mar,67.6713,53.087,23.19,46,14,3.48,RU,1691575934
136,ewo,-0.8725,14.8206,30.07,48,33,3.1,CG,1691575934
137,lihue,21.9789,-159.3672,27.58,76,100,9.26,US,1691575934
138,al hufuf,25.3646,49.5653,45.44,8,1,1.95,SA,1691575935
139,olonkinbyen,70.9221,-8.7187,5.6,94,100,10.32,SJ,1691575935
140,yellowknife,62.456,-114.3525,14.29,77,75,3.6,CA,1691575935
141,hermanus,-34.4187,19.2345,18.78,66,0,4.67,ZA,1691575935
142,gulf shores,30.246,-87.7008,29.47,78,0,0.45,US,1691575935
143,port elizabeth,-33.918,25.5701,19.5,77,20,5.14,ZA,1691575865
144,hami,42.8,93.45,36.12,20,5,4.49,CN,1691575936
145,happy valley-goose bay,53.3168,-60.3315,13.17,88,100,0.0,CA,1691575936
146,bardai,11.65,7.2333,26.98,65,80,6.5,NG,1691575936
147,namibe,-15.1961,12.1522,21.57,68,9,2.96,AO,1691575936
148,penn yan,42.6609,-77.0539,17.86,81,0,2.06,US,1691575926
149,vorgashor,67.5833,63.95,11.08,65,100,1.93,RU,1691575936
150,umm kaddadah,13.6017,26.6876,30.16,52,98,6.45,SD,1691575936
151,utrik,11.2278,169.8474,28.41,77,33,6.43,MH,1691575937
152,alliance,40.9153,-81.1059,16.83,96,9,2.83,US,1691575937
153,papatowai,-46.5619,169.4708,3.66,81,95,5.07,NZ,1691575937
154,kertih,4.5141,103.4483,28.09,84,59,2.78,MY,1691575937
155,banjarmasin,-3.3244,114.591,32.08,64,74,2.94,ID,1691575337
156,georgetown,5.4112,100.3354,31.96,62,20,2.57,MY,1691575937
157,sao vicente,-23.9631,-46.3919,22.1,26,100,6.09,BR,1691575672
158,mount isa,-20.7333,139.5,15.87,51,4,2.06,AU,1691575938
159,hithadhoo,-0.6,73.0833,27.74,72,92,0.57,MV,1691575938
160,port mathurin,-19.6833,63.4167,22.64,60,9,7.75,MU,1691575938
161,mandan,46.8267,-100.8896,17.2,95,100,0.0,US,1691575938
162,petropavlovsk-kamchatsky,53.0452,158.6483,17.1,59,28,4.85,RU,1691575938
163,lompoc,34.6391,-120.4579,15.85,95,100,2.06,US,1691575938
164,saipan,15.1355,145.701,27.39,100,20,4.12,MP,1691575939
165,eldridge,41.6581,-90.5846,17.52,96,0,0.45,US,1691575939
166,santa marta,11.2408,-74.199,28.27,76,9,0.89,CO,1691575939
167,ponta delgada,37.7333,-25.6667,24.4,88,40,9.26,PT,1691575939
168,kokopo,-4.352,152.2633,25.21,77,33,7.28,PG,1691575939
169,hamilton,39.1834,-84.5333,19.32,92,0,1.54,US,1691575939
170,sinop,41.7711,34.8709,21.24,58,48,4.09,TR,1691575940
171,san isidro,-12.1167,-77.05,20.01,83,100,2.57,PE,1691575940
172,wahpeton,46.2652,-96.6059,16.62,91,72,1.61,US,1691575940
173,ciudad rodrigo,40.6,-6.5333,31.54,26,64,4.44,ES,1691575940
174,akcaabat,41.0212,39.5715,27.93,74,75,3.09,TR,1691575940
175,francistown,-21.17,27.5079,21.31,19,1,8.87,BW,1691575940
176,atafu village,-8.5421,-172.5159,28.16,80,97,5.93,TK,1691575940
177,roma,43.2128,-75.4557,18.38,96,100,0.0,US,1691575941
178,baoying,33.2292,119.3092,28.42,80,51,4.01,CN,1691575941
179,mahanoro,-19.9,48.8,23.62,69,42,3.01,MG,1691575941
180,mugia,43.1041,-9.2179,22.17,85,90,8.21,ES,1691575941
181,as sulayyil,20.4607,45.5779,43.1,5,51,2.38,SA,1691575941
182,strezhevoy,60.7333,77.5889,20.86,59,100,5.75,RU,1691575941
183,nabire,-3.3667,135.4833,26.33,80,39,2.09,ID,1691575942
184,ebon,4.582,168.6964,26.88,82,100,5.29,MH,1691575942
185,stanley,54.868,-1.6985,17.5,59,99,5.37,GB,1691575942
186,san antonio de pale,-1.4014,5.6325,23.5,78,92,5.41,GQ,1691575942
187,yamada,39.4667,141.95,26.08,92,64,5.44,JP,1691575942
188,barabai,-2.5833,115.3833,28.36,64,36,0.66,ID,1691575942
189,roxborough park,39.4739,-105.0853,15.52,84,1,2.24,US,1691575942
190,novosilikatnyy,53.3097,83.6239,26.32,36,40,6.0,RU,1691575943
191,faxinal,-24.0003,-51.3194,12.99,96,100,1.78,BR,1691575943
192,saudarkrokur,65.7461,-19.6394,9.86,67,32,4.7,IS,1691575943
193,katsina-ala,7.1667,9.2833,28.21,68,62,4.64,NG,1691575943
194,east london,-33.0153,27.9116,18.52,72,40,3.6,ZA,1691575943
195,antalaha,-14.9003,50.2788,26.11,59,29,5.88,MG,1691575943
196,badger,64.8,-147.5333,15.95,96,100,2.06,US,1691575943
197,tezu,27.9167,96.1667,29.24,91,85,0.29,IN,1691575944
198,yanchep,-31.55,115.6833,15.53,68,0,3.37,AU,1691575944
199,gundelsheim,49.2844,9.1619,18.53,78,100,1.34,DE,1691575944
200,st. john's,47.5649,-52.7093,12.38,92,100,1.03,CA,1691575944
201,armidale,-30.5167,151.65,5.13,58,2,1.28,AU,1691575944
202,porto seguro,-16.4497,-39.0647,20.29,100,40,2.06,BR,1691575945
203,acarau,-2.8856,-40.12,25.68,77,40,6.81,BR,1691575945
204,labrador city,52.9463,-66.9114,9.95,93,100,3.6,CA,1691575945
205,kimbe,-5.5502,150.1429,25.01,75,21,5.23,PG,1691575945
206,remire-montjoly,4.9167,-52.2667,23.02,100,0,0.0,GF,1691575945
207,sandnessjoen,66.0217,12.6316,20.23,40,40,8.75,NO,1691575945
208,thinadhoo,0.5333,72.9333,27.94,71,80,1.37,MV,1691575946
209,marang,5.2056,103.2059,28.72,76,21,2.0,MY,1691575946
210,tyuratam,45.6507,63.3156,35.67,19,50,6.96,KZ,1691575946
211,kayangel,8.0823,134.7173,27.5,79,100,6.7,PW,1691575946
212,cobija,-11.0267,-68.7692,21.56,67,52,0.29,BO,1691575946
213,peace river,56.2501,-117.286,15.36,100,100,2.57,CA,1691575946
214,chonchi,-42.6128,-73.8092,10.62,92,100,6.09,CL,1691575946
215,coihueco,-36.6167,-71.8333,7.41,100,100,4.63,CL,1691575947
216,richards bay,-28.783,32.0377,21.3,72,66,6.02,ZA,1691575947
217,xiaoshi,41.2971,124.1209,25.96,78,12,2.34,CN,1691575947
218,fort mcmurray,56.7268,-111.381,12.77,76,75,4.12,CA,1691575947
219,luau,-10.7073,22.2247,30.15,19,0,2.43,AO,1691575947
220,mejit,10.2753,170.8646,28.43,70,57,5.92,MH,1691575948
221,saint-philippe,-21.3585,55.7679,24.77,79,41,4.18,RE,1691575945
222,kailua-kona,19.6406,-155.9956,28.66,80,100,3.6,US,1691575948
223,mata-utu,-13.2816,-176.1745,27.81,78,47,4.26,WF,1691575948
224,road town,18.4167,-64.6167,28.05,80,90,8.45,VG,1691575948
225,taiynsha,53.8478,69.7639,28.12,29,100,3.46,KZ,1691575948
226,weno,7.4515,151.8468,26.97,94,100,0.0,FM,1691575948
227,lazaro cardenas,17.9583,-102.2,27.22,88,81,1.88,MX,1691575763
228,talnakh,69.4865,88.3972,22.34,35,34,4.93,RU,1691575949
229,opuwo,-18.0607,13.84,27.05,16,5,2.7,NA,1691575949
230,khilok,51.3674,110.4676,20.7,75,100,1.26,RU,1691575949
231,kaiapoi,-43.3783,172.6401,6.15,83,75,3.09,NZ,1691575949
232,cockburn town,21.4612,-71.1419,28.81,81,46,8.05,TC,1691575949
233,beau vallon,-20.4189,57.6953,25.12,68,2,6.25,MU,1691575685
234,tadine,-21.55,167.8833,18.28,72,9,6.13,NC,1691575950
235,naze,28.3667,129.4833,26.24,88,100,8.74,JP,1691575950
236,okha,53.5739,142.9478,13.06,93,100,3.99,RU,1691575950
237,ourense,42.3333,-7.85,32.68,28,1,1.58,ES,1691575696
238,tazovsky,67.4667,78.7,9.68,90,100,6.73,RU,1691575950
239,san lawrenz,36.0553,14.204,27.67,67,0,3.49,MT,1691575951
